Activo,Categoria,Identificador,Finalidad,Propietario,Estado,Ultima_actividad_conocida,Datos_que_recibe,Datos_que_envia,Dependencia,Riesgo,Clasificacion,Accion_recomendada
Dominio principal,Web,www.tutesisrd.online,Sitio corporativo y captacion,Tu Tesis RD,Activo,2026-07-31 (verificado en produccion),Trafico organico/social/pago,Eventos a GTM/GA4/Meta,Vercel + DNS,Bajo,Verificado,Ninguna
Dominio apex,Web,tutesisrd.online,Redireccion 301 a www,Tu Tesis RD,Activo,2026-04-30,-,-,vercel.json,Bajo,Verificado,Ninguna
Repositorio,Codigo,github.com/cordero0012/TuTesisRD-App,Codigo fuente,cordero0012,Activo,2026-04-30 (commit 66ffcb8),Commits,Deploy a Vercel,GitHub,ALTO,Verificado,H-01 rotar token y sacar .mcp.json del control de versiones
Rama main,Codigo,main,Rama de produccion,cordero0012,Activa,2026-04-30,-,Auto-deploy Vercel,GitHub,Medio,Verificado,Commitear o descartar 13 archivos pendientes (H-13)
Rama feature/seo-update,Codigo,feature/seo-update,Trabajo SEO,cordero0012,Sin fusionar,No determinada,-,-,GitHub,Bajo,Verificado,Revisar si aporta o descartar
Rama gh-pages,Codigo,origin/gh-pages,Despliegue legacy GitHub Pages,cordero0012,Obsoleta probable,No determinada,-,-,GitHub,Medio,Inferencia,Verificar si sirve contenido duplicado indexable
Hosting,Infra,Vercel proyecto tu-tesis-rd-app,Hosting y CDN,Tu Tesis RD,Activo,2026-04-30,Push a main,HTML/JS/CSS,GitHub,Bajo,Verificado,Solicitar acceso Viewer
Google Tag Manager,Medicion,GTM-MSLMDDLR,Gestion de etiquetas,Tu Tesis RD,Activo,No determinada,dataLayer,GA4 + Meta Pixel,-,ALTO,Verificado (ID) / No evaluado (contenido),Solicitar acceso de lectura - laguna critica
GA4,Medicion,G-2XTMDMXZFC,Analitica web,Tu Tesis RD,Activo,No determinada,Eventos web,Posible import a Ads,GTM,ALTO,Verificado (ID) / No evaluado (config),Solicitar acceso Visualizador
Meta Pixel,Medicion,1885949815441420,Seguimiento y audiencias Meta,Tu Tesis RD,Activo,No determinada,PageView/Lead/ViewContent,Meta Ads,index.html + analytics.ts,ALTO,Verificado (ID) / No evaluado (config),Corregir H-03 H-05 H-06
Supabase Tu Tesis RD,Backend,Ver VITE_SUPABASE_URL en .env,Auth + base de datos de leads,Tu Tesis RD,Activo,2026-04-30,PII de estudiantes y proyectos,Panel admin,-,ALTO,Verificado (existencia) / No evaluado (RLS),Auditar politicas RLS y anadir antispam
Edge Function ai-bridge,Backend,supabase/functions/ai-bridge,Proxy a Gemini,Tu Tesis RD,Activo,2026-04-20,Texto de tesis hasta 500k chars,Google Gemini API,Supabase,Medio,Verificado,Anadir rate limiting - hoy --no-verify-jwt
Google Gemini API,IA,gemini-3-flash-preview,Analisis de documentos,Google,Activo,2026-04-20,Documentos academicos completos,JSON de analisis,Supabase Secrets,Medio,Verificado,Declarar en politica de privacidad
Blog,Contenido,10 articulos en src/data/blogPosts.json,Captacion organica,Tu Tesis RD,Activo,2026-04-23,-,-,-,Medio,Verificado,H-09 corregir 6 slugs de marcador de posicion
Paginas de universidad,Contenido,9 rutas /tesis/:id,SEO long-tail local,Tu Tesis RD,Activo,2026-04-23,-,-,-,Bajo,Verificado,Ninguna
Paginas de recursos,Contenido,3 rutas /recursos/*,SEO informacional,Tu Tesis RD,Activo,2026-04-23,-,-,-,Bajo,Verificado,Ninguna
Herramienta Auditor,Producto,/herramientas/auditor,Diagnostico con IA - captacion,Tu Tesis RD,Activo,2026-04-20,PDF del usuario,Analisis,ai-bridge,Medio,Verificado,Instrumentar eventos - sin SEO
Herramienta Matriz,Producto,/herramientas/matriz,Matriz de consistencia forense,Tu Tesis RD,Activo,2026-04-20,PDF del usuario,PDF de 14 secciones,ai-bridge,Medio,Verificado,Instrumentar eventos - sin SEO
Panel admin,Interno,/admin,Gestion de clientes y finanzas,Tu Tesis RD,Activo,No determinada,Datos de Supabase,-,Supabase Auth,Medio,Verificado,Verificar proteccion de rutas
Sitemap,SEO,public/sitemap.xml,Indexacion,Tu Tesis RD,Activo,2026-04-23,-,Buscadores,-,Bajo,Verificado,Actualizar tras corregir slugs
robots.txt,SEO,public/robots.txt,Control de rastreo,Tu Tesis RD,Activo,2026-07-31 verificado,-,Buscadores,-,Medio,Verificado,H-12 corregir rutas inexistentes
WhatsApp Business,Comercial,+1 829-751-3267,Canal principal de conversion,Tu Tesis RD,Activo,2026-07-31,17 enlaces del sitio,-,-,ALTO,Verificado,H-04 instrumentar y prellenar mensaje
Telefono,Comercial,+1 809-455-7280,Contacto declarado en schema.org,Tu Tesis RD,Declarado,2026-07-31,-,-,-,Medio,Verificado,H-11 unificar NAP
Correo,Comercial,ttesisrd@gmail.com,Contacto,Tu Tesis RD,Activo,No determinada,-,-,-,Bajo,Verificado,Considerar correo de dominio propio
Instagram,Social,@tutesisrd,Presencia social,Tu Tesis RD,Declarado,No determinada,-,-,-,Medio,Verificado (declaracion) / No evaluado,Solicitar acceso de analista
Facebook,Social,facebook.com/tutesisrd,Presencia social,Tu Tesis RD,Declarado,No determinada,-,-,-,Medio,Verificado (declaracion) / No evaluado,Solicitar acceso de analista
