ID,Prioridad,Tipo,Area,Hallazgo,Evidencia,Impacto_comercial,Esfuerzo,Confianza,Dependencia,Requiere_aprobacion,Responsable_sugerido,Accion
H-01,P0,Correccion estructural,Seguridad,Token de desarrollador de Google Ads versionado en git,.mcp.json trackeado - commit dea5f0b,Alto,Bajo,Alta,Confirmar visibilidad del repositorio,SI,Tecnico,Rotar token + gitignore + purgar historial si el repo es publico
H-00,P0,Requiere acceso,Accesos,Todas las integraciones autenticadas pertenecen a NES CAMP,3 APIs devuelven solo NES CAMP,Alto,Medio,Alta,Decision del propietario,SI,Tecnico + Propietario,Separar credenciales por organizacion y solicitar accesos delegados
H-02,P0,Quick win,CRO,Ruta /student/success inexistente - pantalla en blanco tras convertir,RegisterWizard.tsx:157 vs App.tsx:138,Alto,Muy bajo,Alta,Ninguna,SI,Tecnico,Cambiar navigate a /exito y anadir ruta catch-all
H-03,P0,Correccion estructural,CRO + Medicion,Formulario del hero descarta los datos y dispara Lead igualmente,LandingPage.tsx:206-218,Alto,Medio,Alta,Definir destino del lead,SI,Tecnico + Marketing,Persistir el lead antes de disparar el evento y prellenar WhatsApp
H-04,P0,Correccion estructural,Medicion,Los 17 CTA de WhatsApp no emiten ningun evento,Solo 2 logEvent en todo el repositorio,Alto,Bajo,Alta,Acceso a GTM,SI,Marketing,Crear trigger de clic en GTM sobre a[href*=wa.me]
H-21,P0,Decision,Google Ads,El plan de campanas asume una medicion inexistente,CAMPAIGN_PLAN.md seccion 3 vs codigo,Alto,-,Alta,H-02 H-03 H-04,SI,Propietario,No invertir en publicidad hasta cerrar H-02 H-03 y H-04
H-23,P0,Correccion estructural,Redes,Todo el trafico social converge en WhatsApp sin atribucion,17 enlaces wa.me identicos sin parametros,Alto,Bajo,Alta,H-04,SI,Marketing,UTMs + mensaje prellenado + evento contact_whatsapp
H-05,P1,Quick win,Medicion,Meta Pixel dispara PageView duplicado en la primera carga,useAnalytics.ts + analytics.ts:70 y 93,Medio,Muy bajo,Alta,Ninguna,SI,Tecnico,Eliminar uno de los dos PageView
H-06,P1,Quick win,Medicion,fbq('track','CustomEvent') es una llamada invalida,analytics.ts:114 y 128,Medio,Muy bajo,Alta,Ninguna,SI,Tecnico,Usar trackCustom en la rama por defecto
H-08,P1,Correccion estructural,Privacidad,PII en texto plano en el dataLayer sin consentimiento,RegisterWizard.tsx:145-152 + cero componentes de consentimiento,Medio,Alto,Alta,Decision legal,SI,Tecnico + Legal,Implementar Consent Mode v2 con banner
H-09,P1,Correccion estructural,SEO,Seis de diez articulos con slug de marcador de posicion,blogPosts.json ids blog-4 a blog-9,Alto,Medio,Alta,Debe hacerse antes de anunciar,SI,Marketing + Tecnico,Renombrar a slugs semanticos con 301 y actualizar sitemap
H-10,P1,Correccion estructural,SEO,SPA sin SSR - el rastreador recibe un documento vacio,Fetch de produccion sin JS: solo el title,Alto,Alto,Alta,Ninguna,SI,Tecnico,Prerenderizar las rutas publicas
H-11,P1,Correccion estructural,SEO local,Inconsistencia NAP - tres telefonos distintos,19 vs 5 apariciones + valor anterior en el diff,Medio,Bajo,Alta,Definir numero canonico,SI,Marketing,Unificar NAP en sitio GBP y perfiles sociales
H-13,P1,Quick win,Infraestructura,El arbol de trabajo diverge de produccion,git diff: 13 archivos incluido el fix de schema.org,Medio,Muy bajo,Alta,Revision del diff,SI,Tecnico,Commitear o descartar deliberadamente
H-17,P1,Quick win,SEO + UX,No existe pagina 404 - soft 404 en todas las URLs rotas,Sin path=* en App.tsx,Medio,Bajo,Alta,Ninguna,SI,Tecnico,Anadir ruta catch-all con pagina 404 util
H-20,P1,Correccion estructural,Google Ads,Todos los anuncios planificados apuntan a la home,google_ads_import.csv - tres RSA con la misma URL,Alto,Medio,Media,Acceso a Ads,SI,Marketing,Emparejar cada grupo con su landing y crear landing local de Higuey
C-1,P1,Experimento,CRO,El registro pide importes antes de que exista relacion comercial,RegisterWizard.tsx:122-123,Medio,Medio,Media,Datos de embudo,SI,Producto,Probar version del wizard sin campos de importe
C-2,P1,Experimento,CRO,El wizard exige crear cuenta de autenticacion,RegisterWizard.tsx:55,Medio,Alto,Media,Datos de embudo,SI,Producto,Probar captura de lead sin signUp obligatorio
